host,port,proto,name,state,info
"10.90.242.25","995","tcp","pop3s","filtered",""
"10.90.242.25","1433","udp","ms-sql-s","unknown",""
"10.90.242.25","1521","udp","ncube-lm","unknown",""
"10.90.242.25","1723","tcp","pptp","filtered",""
"10.90.242.25","3306","tcp","mysql","filtered",""
"10.90.242.25","3389","tcp","ms-wbt-server","filtered",""
"10.90.242.25","4500","tcp","sae-urn","open",""
"10.90.242.25","5432","udp","postgresql","unknown",""
"10.90.242.25","5900","tcp","vnc","filtered",""
"10.90.242.25","5900","udp","rfb","unknown",""
"10.90.242.25","6000","udp","x11","unknown",""
"10.90.242.25","8080","tcp","http-proxy","filtered",""
"10.90.242.25","8080","udp","http-alt","unknown",""
"10.90.242.25","8443","tcp","https-alt","filtered",""
"10.90.242.27","21","tcp","ftp","filtered",""
"10.90.242.27","22","tcp","ssh","filtered",""
"10.90.242.27","23","tcp","telnet","filtered",""
"10.90.242.27","25","tcp","smtp","filtered",""
"10.90.242.27","53","tcp","domain","filtered",""
"10.90.242.27","53","udp","domain","closed",""
"10.90.242.27","67","udp","dhcps","closed",""
"10.90.242.27","69","udp","tftp","closed",""
"10.90.242.27","80","tcp","http","open",""
"10.90.242.27","110","tcp","pop3","filtered",""
"10.90.242.27","111","tcp","rpcbind","filtered",""
"10.90.242.27","123","udp","ntp","closed",""
"10.90.242.27","135","tcp","msrpc","filtered",""
"10.90.242.27","137","udp","netbios-ns","closed",""
"10.90.242.27","138","udp","netbios-dgm","closed",""
"10.90.242.27","139","tcp","netbios-ssn","filtered",""
"10.90.242.27","143","tcp","imap","filtered",""
"10.90.242.27","161","udp","snmp","open",""
"10.90.242.27","162","udp","snmptrap","closed",""
"10.90.242.27","389","udp","ldap","unknown",""
"10.90.242.27","443","tcp","https","filtered",""
"10.90.242.27","445","tcp","microsoft-ds","filtered",""
"10.90.242.27","636","udp","ldaps","unknown",""
"10.90.242.27","993","tcp","imaps","filtered",""
"10.90.242.27","995","tcp","pop3s","filtered",""
"10.90.242.27","1433","udp","ms-sql-s","closed",""
"10.90.242.27","1521","udp","ncube-lm","closed",""
"10.90.242.27","1723","tcp","pptp","filtered",""
"10.90.242.27","3306","tcp","mysql","filtered",""
"10.90.242.27","3389","tcp","ms-wbt-server","filtered",""
"10.90.242.27","5432","udp","postgresql","closed",""
"10.90.242.27","5900","tcp","vnc","filtered",""
"10.90.242.27","5900","udp","rfb","closed",""
"10.90.242.27","6000","udp","x11","closed",""
